agi	family
At1g01010	NAC
At1g01030	At1g01030
At1g01060	At1g01060
AT1G01160	GIF
At1g01250	ERF
AT1G01260	bHLH
AT1G01350	General-C2H2
At1g01380	MYB
At1g01520	CCA1-like
AT1G01530	MADS-box
AT1G01640	TRAF
At1g01720	NAC
AT1G01780	LIM
AT1G01930	General-C2H2
AT1G02030	General-C2H2
AT1G02040	General-C2H2
At1g02065	SBP-box
AT1G02210	NAC
At1g02220	NAC
At1g02230	NAC
At1g02250	NAC
AT1G02340	bHLH
AT1G02670	SNF2
At1g03040	bHLH
AT1G03150	GNAT
At1g03490	NAC
AT1G03650	GNAT
AT1G03750	SNF2
At1g03800	ERF-2
AT1G03840	General-C2H2
AT1G03970	bZIP
AT1G04100	unk-aux
AT1G04240	AUX-IAA
AT1G04250	AUX-IAA
At1g04370	ERF
AT1G04390	TRAF
AT1G04445	General-C2H2
AT1G04500	C2C2-CO-like
AT1G04550	unk-aux
AT1G04850	General-C2H2
AT1G04880	AT1G04880
AT1G05120	SNF2
AT1G05230	Homeobox
AT1G05290	C2C2-CO-like
AT1G05380	PHD
AT1G05420	OFP
AT1G05490	SNF2
At1g05615	ABI3-VP1
AT1G05690	TAZ
AT1G05710	bHLH
At1g05805	bHLH
AT1G05830	PHD
At1g05920	ABI3-VP1
At1g05930	ABI3-VP1
AT1G06040	DBB
AT1G06070	AT1G06070
At1g06160	ERF-2
At1g06170	bHLH
At1g06180	MYB
AT1G06280	General-AS2
AT1G06850	AT1G06850
At1g06910	TPB-like
AT1G06920	OFP
AT1G07050	C2C2-CO-like
AT1G07520	GRAS
AT1G07530	GRAS
At1g07540	TPB-like
At1g07640	C2C2-Dof
AT1G07790	TCP
AT1G07900	General-AS2
AT1G07980	CCAAT-HAP
At1g08000	C2C2-GATA-Family
At1g08010	C2C2-GATA-Family
AT1G08290	General-C2H2
AT1G08320	AT1G08320
AT1G08465	YABBY
AT1G08540	Sigma70-like
AT1G08600	SNF2
At1g08810	MYB
AT1G08970	CCAAT-HAP
At1g08985	ABI3-VP1
AT1G09030	AT1G09030
AT1G09250	bHLH
At1g09530	bHLH
At1g09540	MYB
At1g09710	TRF-like
At1g09770	bZIP
At1g09770	MYB
At1g10120	bHLH
AT1G10170	NF-X1
AT1G10200	LIM
AT1G10240	FAR1-like
AT1G10450	Orphans
At1g10455	ABI3-VP1
AT1G10470	Orphans
AT1G10480	General-C2H2
AT1G10585	bHLH
AT1G10586	bHLH
At1g10610	bHLH
AT1G10720	PLATZ
AT1G11100	SNF2
AT1G11490	General-C2H2
AT1G11510	GEBP-like
At1g12260	NAC
At1g12540	bHLH
At1g12610	At1g12610
At1g12630	ERF
At1g12860	bHLH
At1g12890	ERF
At1g12980	ERF
At1g13260	At1g13260
AT1G13290	General-C2H2
AT1G13300	AT1G13300
AT1G13400	AT1G13400
At1g13450	At1g13450
AT1G13600	bZIP
AT1G13960	WRKY
At1g14350	MYB
AT1G14440	ZF-HD
AT1G14580	General-C2H2
AT1G14600	General-G2-GARP
AT1G14685	BBR-BPC
AT1G14687	ZF-HD
AT1G14920	GRAS
AT1G15050	unk-aux
At1g15360	At1g15360
AT1G15580	unk-aux
At1g15720	TPB-like
AT1G15790	bHLH
AT1G16060	ERF
AT1G16070	TLP
At1g16490	MYB
AT1G16530	General-AS2
At1g16640	ABI3-VP1
AT1G16710	TAZ
AT1G17040	STAT
AT1G17310	MADS-box
AT1G17380	C2C2-GATA-Family
At1g17460	TPB-like
At1g17520	TPB-like
AT1G17590	CCAAT-HAP
